,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,87,450,7,"0,27405","194,58 €",,710,,LCCO,87x450mm 7m Lamellés,L87X450/7m,LAMELLES,Lamellés
LC,87,450,8,"0,3132","222,37 €",,710,,LCCO,87x450mm 8m Lamellés,L87X450/8m,LAMELLES,Lamellés
LC,87,450,9,"0,35235","250,17 €",,710,,LCCO,87x450mm 9m Lamellés,L87X450/9m,LAMELLES,Lamellés
LC,87,450,10,"0,3915","277,97 €",,710,,LCCO,87x450mm 10m Lamellés,L87X450/10m,LAMELLES,Lamellés
LC,87,450,11,"0,43065","305,76 €",,710,,LCCO,87x450mm 11m Lamellés,L87X450/11m,LAMELLES,Lamellés
LC,87,450,12,"0,4698","333,56 €",,710,,LCCO,87x450mm 12m Lamellés,L87X450/12m,LAMELLES,Lamellés
LC,87,450,13,"0,50895","361,35 €",,710,,LCCO,87x450mm 13m Lamellés,L87X450/13m,LAMELLES,Lamellés
LC,87,495,2,"0,08613","61,15 €",,710,,LCCO,87x495mm 2m Lamellés,L87X495/2m,LAMELLES,Lamellés
LC,87,495,3,"0,129195","91,73 €",,710,,LCCO,87x495mm 3m Lamellés,L87X495/3m,LAMELLES,Lamellés
LC,87,495,4,"0,17226","122,30 €",,710,,LCCO,87x495mm 4m Lamellés,L87X495/4m,LAMELLES,Lamellés
LC,87,495,5,"0,215325","152,88 €",,710,,LCCO,87x495mm 5m Lamellés,L87X495/5m,LAMELLES,Lamellés
LC,87,495,6,"0,25839","183,46 €",,710,,LCCO,87x495mm 6m Lamellés,L87X495/6m,LAMELLES,Lamellés
LC,87,495,7,"0,301455","214,03 €",,710,,LCCO,87x495mm 7m Lamellés,L87X495/7m,LAMELLES,Lamellés
LC,87,495,8,"0,34452","244,61 €",,710,,LCCO,87x495mm 8m Lamellés,L87X495/8m,LAMELLES,Lamellés
LC,87,495,9,"0,387585","275,19 €",,710,,LCCO,87x495mm 9m Lamellés,L87X495/9m,LAMELLES,Lamellés
LC,87,495,10,"0,43065","305,76 €",,710,,LCCO,87x495mm 10m Lamellés,L87X495/10m,LAMELLES,Lamellés
LC,87,495,11,"0,473715","336,34 €",,710,,LCCO,87x495mm 11m Lamellés,L87X495/11m,LAMELLES,Lamellés
LC,87,495,12,"0,51678","366,91 €",,710,,LCCO,87x495mm 12m Lamellés,L87X495/12m,LAMELLES,Lamellés
LC,87,495,13,"0,559845","397,49 €",,710,,LCCO,87x495mm 13m Lamellés,L87X495/13m,LAMELLES,Lamellés
LC,110,225,2,"0,0495","34,65 €",,700,,LCCO,110x225mm 2m Lamellés,L110X225/2m,LAMELLES,Lamellés
LC,110,225,3,"0,07425","51,98 €",,700,,LCCO,110x225mm 3m Lamellés,L110X225/3m,LAMELLES,Lamellés
LC,110,225,4,"0,099","69,30 €",,700,,LCCO,110x225mm 4m Lamellés,L110X225/4m,LAMELLES,Lamellés
LC,110,225,5,"0,12375","86,63 €",,700,,LCCO,110x225mm 5m Lamellés,L110X225/5m,LAMELLES,Lamellés
LC,110,225,6,"0,1485","103,95 €",,700,,LCCO,110x225mm 6m Lamellés,L110X225/6m,LAMELLES,Lamellés
LC,110,225,7,"0,17325","121,28 €",,700,,LCCO,110x225mm 7m Lamellés,L110X225/7m,LAMELLES,Lamellés
